rank,odds,old,jockey_weight,frame_order,horse_weight
0,17.2,3,54,8,446
0,5.6,3,54,5,468
0,3.4,3,54,3,460
1,33.9,3,51,4,486
1,2.7,3,54,7,452
0,3.1,3,56,5,442
0,78.2,3,54,3,446
0,2.6,3,56,1,440
1,23.0,3,56,6,500
1,6.0,3,54,1,440
0,3.9,3,56,6,462
0,9.4,3,54,5,456
0,3.6,3,56,7,486
0,2.7,3,54,5,418
0,11.6,3,54,2,454
0,4.4,3,54,6,410
1,13.0,3,56,1,440
1,357.2,3,56,7,460
0,3.8,3,55,8,460
0,3.7,3,56,7,506
0,3.2,3,56,2,502
0,112.8,3,56,4,450
0,1.9,3,56,3,464
1,7.7,3,54,1,464
1,131.7,3,56,7,434
0,3.6,5,55,4,506
0,2.5,4,57,5,514
0,18.7,5,55,1,468
0,4.3,4,57,6,502
1,19.5,4,57,8,494
1,8.0,4,57,3,440
0,6.1,3,54,8,464
0,2.0,3,54,8,448
0,7.4,3,54,5,470
1,14.9,3,54,3,428
0,19.1,6,53,1,506
0,16.1,4,52,7,456
0,3.8,4,55,5,448
1,2.5,5,55,5,494
1,17.5,6,52,6,464
0,2.5,3,56,1,522
0,3.9,3,56,5,502
0,5.1,3,56,3,460
1,52.9,3,56,2,492
1,68.4,3,56,6,468
0,3.0,4,54,7,488
0,15.0,5,55,3,474
0,8.6,5,55,5,420
1,3.1,4,55,1,444
1,8.5,5,55,2,472
0,3.1,3,54,2,464
0,14.7,3,56,6,440
0,2.9,3,56,8,502
0,12.5,3,56,7,432
1,2.3,3,54,3,466
1,28.5,3,55,6,506
0,4.8,3,56,6,484
0,6.1,3,56,4,478
0,43.0,5,60,4,492
0,2.4,3,54,3,464
0,3.1,3,56,1,468
0,8.9,3,56,7,492
0,2.5,3,56,8,492
0,87.5,3,56,6,440
1,5.5,3,56,1,450
1,6.7,3,56,5,460
0,39.6,3,56,7,492
0,3.7,3,56,8,462
0,6.8,3,56,7,444
1,8.5,3,56,4,468
1,11.3,3,56,6,486
0,19.3,5,57,7,486
0,2.5,6,57,8,512
0,3.2,5,57,5,456
1,4.5,5,57,6,510
1,7.5,5,57,6,484
0,4.0,5,55,1,444
0,5.4,4,55,4,448
0,2.1,5,55,2,468
1,11.3,4,55,6,424
1,7.2,4,55,7,454
0,7.4,5,57,6,490
0,13.4,6,55,3,480
0,4.3,6,55,2,466
1,3.2,5,55,7,478
1,28.8,7,57,3,520
0,3.1,5,56,4,510
0,3.8,6,56,8,470
0,9.1,5,56,8,524
1,4.1,5,56,3,472
0,2.0,5,57,4,546
0,5.4,5,54,6,458
0,21.7,4,57,3,478
1,9.2,4,57,8,514
1,6.3,4,56,2,478
0,16.5,3,56,3,528
0,1.7,3,56,7,528
0,37.6,3,53,4,460
1,111.8,3,56,5,504
1,17.4,3,56,2,512
0,12.8,3,54,1,468
0,31.8,3,56,3,484
0,1.3,3,56,5,488
1,361.1,3,53,2,458
1,6.7,3,56,7,466
0,4.2,3,54,4,460
0,6.3,3,54,8,426
0,25.4,3,54,6,460
1,8.2,3,54,7,474
1,5.1,3,54,2,446
0,4.5,3,56,3,500
